SMILES,molecular_formula,molecular_weight,BALABAN,BERTZ,BOETTCHER,HKALPHA,IPC,SAS,SCS,PI,DESCRIPTORCOMPLEXITY_UNIQUEAP,DESCRIPTORCOMPLEXITY_UNIQUETT,DESCRIPTORCOMPLEXITY_TOTALAP,DESCRIPTORCOMPLEXITY_TOTALTT,DESCRIPTORCOMPLEXITY_APCOMPLEX,DESCRIPTORCOMPLEXITY_TTCOMPLEX,SP3CARBONS_TOTALATOM_COUNT,SP3CARBONS_TOTALCARBON_COUNT,SP3CARBONS_CAR_ALLATOM_RATIO,SP3CARBONS_CHIRAL_ALLATOM_RATIO,SP3CARBONS_CHIRAL_ALLCARBON_RATIO,SP3CARBONS_CHIRAL_COUNT,SP3CARBONS_CSP2_COUNT,SP3CARBONS_CSP2_ALLATOM_RATIO,SP3CARBONS_CSP2_ALLCARBON_RATIO,SP3CARBONS_CSP3_COUNT,SP3CARBONS_CSP3_ALLATOM_RATIO,SP3CARBONS_CSP3_ALLCARBON_RATIO,SP3CARBONS_CSP_COUNT,SP3CARBONS_CSP_ALLATOM_RATIO,SP3CARBONS_CSP_ALLCARBON_RATIO,RINGINFO_NUM_ALI_CARBOCYCLE,RINGINFO_NUM_ALI_HETEROCYCLE,RINGINFO_NUM_ALI_RINGS,RINGINFO_NUM_ARO_CARBOCYCLE,RINGINFO_NUM_ARO_HETEROCYCLE,RINGINFO_NUM_ARO_RINGS,RINGINFO_NUM_BRIDGE_ATOMS,RINGINFO_NUM_SPIRO_ATOMS,WIENER_INDEX,SMILES_3_2,PUBCHEM_XLOGP,PUBCHEM_TPSA,PUBCHEM_H_BOND_DONOR_COUNT,PUBCHEM_H_BOND_ACCEPTOR_COUNT,PUBCHEM_ROTATABLE_BOND_COUNT,PUBCHEM_HEAVY_ATOM_COUNT,PUBCHEM_ATOM_STEREO_COUNT,PUBCHEM_DEFINED_ATOM_STEREO_COUNT,PUBCHEM_UNDEFINED_ATOM_STEREO_COUNT,PUBCHEM_BOND_STEREO_COUNT,PUBCHEM_DEFINED_BOND_STEREO_COUNT,PUBCHEM_COVALENT_UNIT_COUNT,KAPPA_SHAPE_INDEX1,KAPPA_SHAPE_INDEX2,KAPPA_SHAPE_INDEX3,MCGOWAN_VOLUME,MOE_TYPE_Labute_ASA,MOE_TYPE_PEOE_VSA,MOE_TYPE_SMR_VSA,MOE_TYPE_SLOGP_VSA,MOE_TYPE_ESTATE_VSA,VDW_VOLUME_ABC,ZAGREB_INDEX
c1(c(Oc2c(cc(F)cc2)F)cc([N+]([O-])=O)c(c1)N)c1ccc(S(C)(=O)=O)cc1,C19H14F2N2O5S,420.059148988,2.147711911427008,1212.0143060206678,351.5331822120288,-3.53,1980886.1793668654,2.3332982223975645,3.250441326635011,84.69437754254936,179,29,406.0,57,0.4408866995073892,0.5087719298245614,29,19,0.6551724137931034,0.0,0.0,0,18,0.6206896551724138,0.9473684210526315,1,0.034482758620689655,0.05263157894736842,0,0.0,0.0,0,0,0,3,0,3,0,0,2240.0,512.0,4.318000000000003,112.53,1,6,5,29,0,0.0,0.0,0.0,0.0,0.0,23.658688865764827,9.646502835538753,5.825792551554325,272.17000000000024,163.97341448268008,10.470530430962235,26.858801082296296,10.470530430962235,32.08239214201052,337.6350102152095,154.0
C(C(O)=O)(CCOCCC(C(O)=O)(C)C)(C)C,C12H22O5,246.146723804,3.8123196578452543,252.62057553556429,77.50977500432697,-1.1,2432.0987963062453,2.5544061167242766,1.934366761176486,42.692733344871826,57,8,136.0,22,0.41911764705882354,0.36363636363636365,17,12,0.7058823529411765,0.0,0.0,0,2,0.11764705882352941,0.16666666666666666,10,0.5882352941176471,0.8333333333333334,0,0.0,0.0,0,0,0,0,0,0,0,0,628.0,189.57056733575496,2.0048,83.83000000000001,2,3,8,17,0,0.0,0.0,0.0,0.0,0.0,17.0,6.805293005671078,6.479338842975206,200.68999999999954,101.77867122017867,14.94991774348146,24.538992111625106,0.0,22.768591514697256,254.78649849599836,78.0
c12c([N+](CC2)(C)C)cccc1OC,C11H16NO+,178.12264055209,2.5561931193345298,330.8622056791708,145.84962500721153,-1.02,1215.9069290836721,3.098520519239596,1.8278458055169526,37.933331199870906,46,20,78.0,28,0.5897435897435898,0.7142857142857143,13,11,0.8461538461538461,0.0,0.0,0,6,0.46153846153846156,0.5454545454545454,5,0.38461538461538464,0.45454545454545453,0,0.0,0.0,0,1,1,1,0,1,0,0,219.0,132.5745073534124,1.8182,9.23,0,1,1,13,0,0.0,0.0,0.0,0.0,0.0,9.551020408163266,3.292517006802721,1.530612244897959,149.22999999999982,79.33363292425634,4.736862953800049,4.736862953800049,9.219893811494673,0.0,176.39521869454447,70.0
c12c(c(c3C(c4cccc(c4C(c3c2O)=O)OC)=O)O)C[C@](C(C)=O)(O)C[C@@H]1O[C@H]1C[C@@H]([C@H](O[C@@H]2C[C@H]([C@H](O)[C@@H](O2)C)N)[C@@H](O1)C)N,C33H40N2O12,656.2581247199998,1.3255399222170732,1605.198976258596,844.5744501067312,-3.4700000000000006,17288196598.324814,5.111691897650127,4.1011917814324494,131.41883221711888,468,51,1081.0,116,0.43293246993524515,0.4396551724137931,47,33,0.7021276595744681,0.2127659574468085,0.30303030303030304,10,15,0.3191489361702128,0.45454545454545453,18,0.3829787234042553,0.5454545454545454,0,0.0,0.0,2,2,4,2,0,2,0,0,8036.0,1551.1621449738902,0.8763000000000014,230.32,6,14,6,47,10,10.0,0.0,0.0,0.0,0.0,36.77958579881657,14.197530864197532,6.618311533888228,462.3700000000017,270.037965964248,55.57775930268744,58.49403590057853,16.20419790812442,107.18110097867415,587.1333317322319,266.0
C1(c2c(C=Cc3c1cccc3)cccc2)CC(N1[C@H](C(NCC2CCN(C(N)=[NH2+])CC2)=O)CCC1)=O,C29H36N5O2+,486.28635181209,1.24968350241372,1118.2594248239254,345.3985000288465,-3.6100000000000003,217821770.30718192,3.48746949990929,4.678311084481692,102.33938430586088,211,42,630.0,76,0.3349206349206349,0.5526315789473685,36,29,0.8055555555555556,0.027777777777777776,0.034482758620689655,1,17,0.4722222222222222,0.5862068965517241,12,0.3333333333333333,0.41379310344827586,0,0.0,0.0,1,2,3,2,0,2,0,0,4340.0,623.7122734081797,1.5854000000000017,104.25999999999999,3,2,5,36,1,1.0,0.0,0.0,0.0,0.0,27.5625,12.901785714285714,6.604570637119114,385.9600000000015,212.4032321979113,10.216698334856808,14.998357973935164,16.459739686960038,0.0,474.0756325889281,192.0
c1(c(c2ccc(O)cc2)sc2c1ccc(c2)O)C(c1ccc(OCC[N@@]2[C@H](CCC2)CO)cc1)=O,C28H27NO5S,489.16099396399994,1.3755282141517549,1330.228951428704,409.2481250360581,-3.3899999999999992,147045586.03509867,2.994053538887666,4.359955181945589,97.325309276725,197,30,595.0,75,0.3310924369747899,0.4,35,28,0.8,0.02857142857142857,0.03571428571428571,1,21,0.6,0.75,7,0.2,0.25,0,0.0,0.0,0,1,1,3,1,4,0,0,4174.0,560.7423650840018,5.046000000000006,90.22999999999999,3,7,8,35,1,1.0,0.0,0.0,0.0,0.0,26.600920447074294,12.24,6.189511111111111,359.46000000000123,207.19892735175745,20.056445138322168,24.85098232239399,4.736862953800049,0.0,431.9176218813645,188.0
c12c(nc(NC)c(n1CC)=O)cccc2,C11H13N3O,203.105862036,2.895941022214596,545.0145981568063,209.69925001442317,-1.8399999999999999,3375.9655694008857,2.0017232286940256,3.2674773238172046,39.22756238243407,68,24,105.0,31,0.6476190476190476,0.7741935483870968,15,11,0.7333333333333333,0.0,0.0,0,8,0.5333333333333333,0.7272727272727273,3,0.2,0.2727272727272727,0,0.0,0.0,0,0,0,1,1,2,0,0,332.0,132.5745073534124,1.4580999999999997,46.92,1,4,2,15,0,0.0,0.0,0.0,0.0,0.0,11.484375,4.8884297520661155,2.097814776274714,158.4399999999998,87.56854572656215,9.883888251797686,0.0,10.876055499058339,0.0,180.89759252062962,76.0
c1(C(OCOC(CCCC\C=C/C\C=C/C\C=C/CCCCC)=O)=O)cccnc1,C25H35NO4,413.2566086,1.9438955521164951,664.9860136970175,277.39850002884634,-2.6899999999999995,4272443.304420386,2.7510294704039744,3.0296883728752495,51.35288334198721,229,23,435.0,35,0.5264367816091954,0.6571428571428571,30,25,0.8333333333333334,0.0,0.0,0,13,0.43333333333333335,0.52,12,0.4,0.48,0,0.0,0.0,0,0,0,0,1,1,0,0,4024.0,343.0,6.328600000000007,65.49000000000001,0,5,16,30,0,0.0,0.0,0.0,0.0,0.0,28.033333333333335,20.877869605142333,17.28,351.3100000000012,180.43121895092415,9.473725907600098,19.06280027574374,0.0,5.969305287951849,442.7656274181803,126.0
c1(c2c(cccc2)[nH]c1)C[C@H](NC([C@H](Cc1ccccc1)NC([C@@H](NC([C@@H](NC([C@H](Cc1cnc[nH]1)N)=O)CS)=O)CCCCN)=O)=O)C(N[C@@H](C(C)C)C(N)=O)=O,C40H55N11O6S,817.4057494800002,1.5722060279259957,1973.4831385335367,868.2706875829327,-5.7200000000000015,3889122201608.231,4.501835793065292,4.310429735732532,153.30340469476187,580,51,1653.0,102,0.3508771929824561,0.5,58,40,0.6896551724137931,0.10344827586206896,0.15,6,23,0.39655172413793105,0.575,17,0.29310344827586204,0.425,0,0.0,0.0,0,0,0,2,2,4,0,0,15306.0,1568.5582552140038,-0.1296999999999916,285.1,11,10,23,58,6,6.0,0.0,0.0,0.0,0.0,50.6428379467885,26.584176085663294,16.57823913879277,627.870000000002,342.1520757901999,53.75290249341263,28.76722310443093,43.78494545151821,71.6941233509968,760.0379006531159,286.0
c12c(C[C@H](C(N3CCC(N(c4ccccc4)C(C)=O)CC3)=O)NC(C(C)(C)N)=O)c[nH]c1cccc2,C28H35N5O3,489.27398998,1.4997845941351589,1222.7159332470137,427.6631625353369,-3.6499999999999995,115438532.53739142,3.0351639122943137,4.477650148311676,103.40516204286774,287,47,630.0,72,0.45555555555555555,0.6527777777777778,36,28,0.7777777777777778,0.027777777777777776,0.03571428571428571,1,17,0.4722222222222222,0.6071428571428571,11,0.3055555555555556,0.39285714285714285,0,0.0,0.0,0,1,1,2,1,3,0,0,4201.0,610.9402589451771,2.9766000000000012,111.53,3,4,7,36,1,1.0,0.0,0.0,0.0,0.0,28.994082840236686,12.901785714285714,7.358796296296297,386.45000000000147,211.37666724749255,25.83425406381668,14.383611552215466,15.950365812018994,11.580766081531305,465.70810379043206,190.0
c12c3c([nH]c1CC[C@@H](C2)CNC)ccc(c3)O,C14H18N2O,230.141913196,2.040478520837804,544.3909401935394,202.18947501009623,-1.4799999999999998,13462.846619441374,2.9847859792905265,3.758612380759475,46.67392905486999,81,28,136.0,37,0.5955882352941176,0.7567567567567568,17,14,0.8235294117647058,0.058823529411764705,0.07142857142857142,1,8,0.47058823529411764,0.5714285714285714,6,0.35294117647058826,0.42857142857142855,0,0.0,0.0,1,0,1,1,1,2,0,0,498.0,225.06221362103412,2.1978000000000004,48.05,3,2,2,17,1,1.0,0.0,0.0,0.0,0.0,12.055401662049862,4.938271604938271,2.2907231555880205,184.16999999999965,100.85014554090095,15.407294519794245,5.106527394840706,5.316788604006331,0.0,212.06878759448176,92.0
c1(c(c2ccc(S(C)(=O)=O)cc2)nc(o1)CCCC(NO)=O)c1cc(c(Cl)cc1)Cl,C20H18Cl2N2O5S,468.03134803599994,2.0041122471981954,1174.407550590399,371.53318221202886,-2.3899999999999992,4709280.529125927,2.4728430781506088,4.572583007149515,86.04385192284987,198,33,435.0,57,0.45517241379310347,0.5789473684210527,30,20,0.6666666666666666,0.0,0.0,0,16,0.5333333333333333,0.8,4,0.13333333333333333,0.2,0,0.0,0.0,0,0,0,2,1,3,0,0,2607.0,453.18759912424787,4.547000000000003,109.5,2,6,7,30,0,0.0,0.0,0.0,0.0,0.0,24.638671875,10.744801512287335,6.515235457063712,311.52000000000066,183.07586671950716,4.417150937053347,22.836738130231396,5.480096598121202,15.744432865769006,375.8544725390052,156.0
C1(c2ccccc2)(CCN(CC[C@@H](c2cc(c(Cl)cc2)Cl)CC(N(Cc2cc(ccc2)OC)C)=O)CC1)O,C31H36Cl2N2O3,554.210298372,1.3989950207617807,1212.7562771529151,389.38280721924036,-2.5699999999999994,303668642.17070687,3.033064678831824,3.9933789897255525,102.795488506141,306,42,703.0,72,0.4352773826458037,0.5833333333333334,38,31,0.8157894736842105,0.02631578947368421,0.03225806451612903,1,19,0.5,0.6129032258064516,12,0.3157894736842105,0.3870967741935484,0,0.0,0.0,0,1,1,3,0,3,0,0,5247.0,610.9402589451771,6.508000000000008,53.010000000000005,1,4,10,38,1,1.0,0.0,0.0,0.0,0.0,30.947055324211778,14.759002770083102,8.75,423.2600000000014,235.47950874116847,19.64320981034171,14.637927532712576,4.736862953800049,5.601050810983688,515.0279137286572,196.0
